15.71,925.66,805.09,42.535496,1.264868,30.0,258.2,9:23:34,        
15.84,925.86,803.31,42.535364,1.263860,29.3,258.3,9:23:41,        
15.88,926.00,802.11,42.535383,1.263582,3.7,267.7,9:23:47,         
15.92,926.07,801.48,42.535345,1.263352,6.3,245.5,9:23:54,         
15.98,926.08,801.31,42.535285,1.263177,1.6,242.1,9:24:1,          
16.04,926.11,801.08,42.535285,1.263174,0.2,0.0,9:24:2,            
16.11,926.13,800.95,42.535301,1.263179,0.0,0.0,9:24:14,           
16.18,926.13,800.88,42.535307,1.263184,0.0,0.0,9:24:21,,42.535496,
16.21,926.14,800.82,42.535311,1.263189,0.0,0.0,9:24:28,,42.535364,
16.17,926.13,800.87,42.535316,1.263190,0.0,0.0,9:24:35,,42.535383,
16.18,926.13,800.92,42.535318,1.263189,0.0,0.0,9:24:42,,42.535345,
16.23,926.13,800.92,42.535316,1.263185,0.0,0.0,9:24:48,,42.535285,
16.26,926.13,800.92,42.535314,1.263180,0.0,0.0,9:24:55,,42.535285,
16.26,926.12,800.97,42.535313,1.263178,0.0,0.0,9:25:2,5,42.535301,
16.22,926.12,800.98,42.535312,1.263178,0.0,0.0,9:25:3,8,42.5353   
16.24,926.12,801.03,42.535304,1.263183,0.0,0.0,9:25:15,           
16.27,926.12,800.97,42.535305,1.263183,0.0,0.0,9:25:22,           
16.30,926.12,800.97,42.535260,1.263104,4.4,225.3,9:25:29,         
16.29,926.17,800.55,42.535241,1.263082,5.8,220.9,9:25:30,         
16.35,926.29,799.50,42.534700,1.262044,24.6,231.9,9:25:42,        
16.35,926.56,797.08,42.534424,1.260934,29.6,273.0,9:25:49,        
16.36,926.80,794.93,42.534419,1.259545,32.4,259.0,9:25:56,        
16.45,927.05,792.68,42.534125,1.258096,36.3,254.0,9:26:3,2.535304,
16.48,927.45,789.12,42.534066,1.256802,36.0,254.0,9:26:9,2.535305,
16.47,927.87,785.37,42.534672,1.255535,33.1,289.9,9:26:16,.535260,
16.45,928.31,781.42,42.534858,1.254158,30.0,276.2,9:26:23,.535241,
16.46,928.57,779.12,42.534491,1.253044,29.1,255.8,9:26:30,.534700,
16.49,928.72,777.79,42.534120,1.251851,30.0,260.9,9:26:37,.534424,
16.52,929.07,774.62,42.533325,1.251399,33.2,176.6,9:26:43,.534419,
16.56,929.43,771.45,42.532223,1.251723,35.2,167.6,9:26:50,.534125,
16.53,929.79,768.26,42.531177,1.251813,30.6,197.8,9:26:57,.534066,
16.50,930.09,765.59,42.531056,1.251733,29.5,209.2,9:26:58,.534672,
16.48,930.36,763.17,42.530638,1.249553,30.6,227.1,9:27:11,.534858,
16.50,930.61,760.90,42.529804,1.249074,35.5,195.2,9:27:17,.534491,
16.50,930.89,758.45,42.528758,1.248680,31.1,200.0,9:27:24,.534120,
16.47,931.11,756.43,42.527945,1.247936,30.0,212.9,9:27:31,.533325,
16.46,931.35,754.37,42.527112,1.247481,31.6,208.1,9:27:37,.532223,
16.45,931.58,752.26,42.526100,1.247021,32.2,200.1,9:27:44,.531177,
16.40,931.93,749.18,42.525280,1.246127,33.7,241.0,9:27:51,.531056,
16.39,932.27,746.11,42.524861,1.244745,34.2,244.5,9:27:58,.530638,
16.38,932.50,744.13,42.524788,1.244559,33.7,242.5,9:27:59,.529804,
16.40,932.64,742.87,42.523516,1.242525,38.8,209.7,9:28:11,.528758,
16.38,932.83,741.14,42.522518,1.241631,36.4,222.9,9:28:18,.527945,
16.38,933.00,739.63,42.521846,1.240366,33.3,243.1,9:28:25,.527112,
16.41,933.22,737.67,42.522093,1.238960,35.4,290.5,9:28:32,.526100,
16.48,933.46,735.53,42.522145,1.238754,34.8,288.8,9:28:33,.525280,
16.57,933.61,734.19,42.521633,1.236511,34.8,288.8,9:28:45,.524861,
16.62,933.81,732.43,42.521237,1.235720,20.2,204.6,9:28:52,.524788,
16.63,934.06,730.21,42.520519,1.235088,31.4,225.7,9:28:59,.523516,
16.74,934.24,728.65,42.519714,1.233955,40.1,225.1,9:29:6,2.522518,
16.84,934.33,727.81,42.518812,1.233205,39.4,224.1,9:29:12,.521846,
16.97,934.38,727.39,42.517553,1.232881,38.8,185.0,9:29:19,.522093,
17.15,934.28,728.25,42.516305,1.232893,39.0,167.4,9:29:26,.522145,
17.43,933.99,730.88,42.515179,1.233482,36.7,156.9,9:29:33,.521633,
17.67,933.63,734.06,42.514143,1.233808,36.7,156.9,9:29:40,.521237,
17.90,933.49,735.33,42.513340,1.233152,35.1,212.5,9:29:46,.520519,
18.16,933.57,734.57,42.512226,1.232824,34.9,190.3,9:29:53,.519714,
18.39,933.69,733.50,42.511433,1.231898,33.9,225.4,9:30:0,2.518812,
